show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
"Be Cool, Scooby-Doo!",6.3,2015-2018,23,"Animation, Adventure, Comedy",TV-Y7-FV,"2,180","The Scooby gang continues to solve mysteries during what could be their last summer together, but monsters and ghouls get in the way of completing their adventures."
Sonic the Hedgehog,6.8,1993-1994,30,"Animation, Short, Action",TV-Y7-FV,"4,975","In a post-apocalyptic and dystopian future, all life has been challenged by oppression and tyranny, as the evil Dr. Robotnik is on the wake of controlling Mobius."
Dungeons & Dragons,8,1983-1985,30,"Animation, Adventure, Comedy",TV-Y7,"5,003","A group of kids are thrown into a fantasy world where they must search for a way home, armed with magic weapons that an evil tyrant wants."
Voltron: Defender of the Universe,7.9,1984-1985,24,"Animation, Family, Sci-Fi",TV-Y7,"4,688",This series focuses on five lion robots and their pilots as they fight the evil forces of King Zarkon and Prince Lotor.
The Powerpuff Girls,3.4,2016-2019,60,"Animation, Action, Comedy",TV-Y7-FV,"4,147","Made from sugar, spice, everything nice and Chemical X by the Professor; Blossom, Bubbles, and Buttercup now use their superpowers and super cuteness to save the world (or at least Townsville) from evil villains and all things icky."
Power Rangers in Space,7.3,1998-1999,30,"Action, Adventure, Family",TV-Y7,"3,168","The most evil forces of the universe (Rita & Zedd, the Machine Empire and Divatox) have formed an alliance with the monarch of all evil, Dark Specter. With Zordon as his prisoner, Dark ... See full summary »"
Sailor Moon Crystal,7.9,2014- ,24,"Animation, Action, Adventure",TV-14,"2,076",Usagi Tsukino is chosen to be a guardian of justice and is sent on a quest to locate a Silver Crystal before the Dark Kingdom invades the Earth.
The Secrets of Isis,6.8,1975-1976,30,"Adventure, Family, Fantasy",,"1,056",An archaeologist gains an amulet that allows her to transform into the superheroine goddess Isis and fight evil.
Lab Rats: Elite Force,6.5,2016-2019,30,"Adventure, Comedy, Drama",TV-Y7,"1,348","When Mighty Med hospital is destroyed, bionic heroes Bree and Chase join superheroes Kaz, Oliver, and Skylar to form an Elite Force and take down those responsible for the attack."
Power Rangers Time Force,7.1,2001,30,"Action, Adventure, Crime",TV-Y7,"2,364",The Time Force Power Rangers travel to the past to stop Ransik and his band of criminal mutants.
Speed Racer,7.2,1967-1968,30,"Animation, Action, Adventure",TV-Y7,"2,890","Teenager Gô Mifune aspires to be the world's best race-car champion with the help of his friends, family and his father's high-tech race-car, the Mach 5."
TRON: Uprising,8.2,2012-2013,30,"Animation, Action, Adventure",TV-Y7,"8,146","In the computer world of the Grid, a young program joins Tron's fight against their world's tyranny."
Birdgirl,5.7,2021- ,,"Animation, Adventure, Comedy",TV-14,696,"After being named CEO of the world's largest and most non-sensical corporation, Sebben & Sebben, Judy Ken Sebben aka Birdgirl has to find a way to maintain her work/superhero life balance."
Ghostbusters,6.4,1986-1987,25,"Animation, Adventure, Comedy",TV-Y7,"2,929",A squad of supernatural investigators are Earth's only defense against an evil ghost wizard and his minions.
Power Rangers DinoThunder,6.8,2004,30,"Action, Adventure, Sci-Fi",TV-Y7,"3,037","An eccentric scientist and his partner, veteran Power Ranger Dr. Tommy Oliver, have created Dinosaur like robots called Bio Zords. After their laboratory is attacked by the evil Mesogog, ... See full summary »"
Iron Man: Armored Adventures,6.5,2008-2012,22,"Animation, Action, Adventure",TV-Y7,"3,481",A teenage Tony Stark battles evil with his revolutionary power armor technology.
The New Avengers,7.2,1976-1977,60,"Action, Mystery, Thriller",,"2,310","Secret agent Steed, working for an unnamed branch of British intelligence, is teamed up with two partners to fight evil plots for world domination, dealing with suspended animation, biological warfare, robotics, and other threats."
Power Rangers Megaforce,5.7,2000-2014,24,"Action, Adventure, Family",TV-Y7,"1,611",An evil galactic armada has come to destroy the planet Earth and the newest team of Power Rangers must harness powers from Rangers of the past to stop them as the Power Rangers Megaforce.
Bionic Woman,5.8,2007,60,"Action, Sci-Fi, Thriller",TV-PG,"8,183",A reimagining of the popular 1970s TV series about a female athlete who is given bionic strength.
OK K.O.! Let's Be Heroes,6.4,2017-2019,11,"Animation, Short, Action",TV-Y7-FV,"2,786","An enthusiastic young boy earns a job at a hero supply store and trains to become the ""Greatest Hero Ever."""
Constantine: City of Demons,7.6,2018-2019,6,"Animation, Short, Action",R,"5,886",An animated series centering on the adventures of supernatural detective John Constantine.
Spider-Man Unlimited,6.4,1999-2005,22,"Animation, Action, Adventure",TV-Y7,"3,255",Spider-Man travels to Counter-Earth to rescue a Terran shuttle crew trapped there and discovers a tyrannical and warped version of his world.
The New Scooby-Doo Movies,7.7,1972-1973,83,"Animation, Adventure, Comedy",TV-G,"4,759",The Mystery Inc. gang investigate more supernatural sightings with various guest stars and characters.
Ghost in the Shell SAC_2045,6.3,2020- ,25,"Animation, Action, Crime",TV-MA,"1,958","Hired as a mercenary unit, the former members of Japan's elite Section 9 are faced with the sudden appearance of ""Post-Human,"" a being with tremendous intelligence and physical capabilities."
Judge Dredd: Mega City One,Not-Rated,TBA,,"Action, Adventure, Crime",,,"Judge Dredd patrols an over-populated metropolis in the 22nd Century, where he has the powers of a judge, jury and executioner."
Johnny Test,5.2,2005- ,30,"Animation, Action, Adventure",TV-Y7,"8,044","The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process."
Team Umizoomi,6.1,2010-2015,24,"Animation, Family",TV-Y,863,"Umifriend, Team Umizoomi needs your help! Build a super fast speedboat with shapes. Use pattern power to make chocolate and strawberry milk. Fix a broken subway train and so much more with these tiny super heroes!"
The Super Mario Bros. Super Show!,6.4,1989,30,"Animation, Action, Adventure",TV-Y7,"4,089","The Mario Brothers, Princess Toadstool, and Toad go on various adventures while battling the evil King Koopa."
Danger Mouse,7,2015-2019,22,"Animation, Action, Adventure",TV-Y7,556,The continuing adventures of secret agent Danger Mouse and his sidekick Penfold.
Power Rangers R.P.M.,6.6,2009,22,"Action, Adventure, Comedy",TV-Y7,"1,700","In the near future, the mysterious and sinister Venjix Computer Network is attempting to conquer and lay ruin to the entire planet. Mankind has retreated into environmentally-shielded domed... See full summary »"
Legends of the Superheroes,5.8,1979,100,"Action, Comedy, Adventure",,526,"A teamup of some of DC Comics' greatest superheroes together, for 2 specials: a race to stop the united supervillains' plot to destroy the earth, then later a roast in tribute to all of the heroes hosted by Ed McMahon."
Mad,5.8,2010-2013,12,"Animation, Comedy",TV-PG,"2,877",The animated version of the classic humor magazine satirizes current pop culture.
Superhero Kindergarten,7,2021- ,,"Animation, Action, Family",TV-Y7,201,"A gym coach acquires incredible superpowers from a mysterious comet and becomes Captain Fantastic, one of the earth's greatest protectors. He works 'undercover' as a kindergarten teacher to raise a new generation of super-powered kids."
Spider-Man and His Amazing Friends,7.2,1981-1986,22,"Animation, Action, Comedy",TV-Y7,"3,394",Spider-Man battles crime in New York City with the help of Iceman and Firestar.
Automan,6.9,1983-1984,70,"Adventure, Comedy, Crime",,"1,836",A computer-generated superhero and his human creator fight crime in the city.
The Incredible Hulk,6.8,1996-1998,20,"Animation, Action, Adventure",TV-Y7,"3,233",A nuclear scientist is afflicted with the tendency to change into a powerful green monster under stress.
Code Lyoko,7.3,2003-2007,26,"Animation, Action, Adventure",TV-Y7,"5,018","When a group of four boarding school students discover a supercomputer housed inside an abandoned factory, they find a virtual world called Lyoko and awaken a sentient multi-agent system virus that tries to take over the real world."
He-Man and the Masters of the Universe,7.5,2002-2004,30,"Animation, Action, Adventure",TV-Y7,"3,249","On the planet Eternia, a young prince gains the ability to become a powerful warrior to defend Castle Grayskull against the dark lord Skeletor."
The Tick,7.8,1994-1997,30,"Animation, Action, Adventure",TV-Y7,"9,455","An invulnerable, somewhat dim, superhero protects The City from all manner of evil-doers."
MASK,7.2,1985-1986,22,"Animation, Action, Adventure",TV-Y7,"4,119",Matt Trakker leads a special team of masked crime fighters with a fleet of hidden function vehicles against Miles Mayhem and his criminal organization known as V.E.N.O.M.
The Sentinel,6.6,1996-1999,45,"Action, Adventure, Crime",,"2,333","In the jungles of Peru, the fight for survival heightened his senses. Now, Detective Jim Ellison is a sentinel in the fight for justice. Anthropologist Blair Sandburg works side by side with Jim, helping him develop these senses."
Spider Man,6.4,1978-1979,30,"Action, Adventure, Family",TV-PG,497,Motorcyclist Takuya Yamashiro fights the evil forces of Professor Monster as the superhero Spiderman.
Power Rangers Zeo,6.6,1996-1997,21,"Action, Adventure, Family",TV-Y7,"2,676","Tommy, Billy, Adam, Rocky, Kat and Tanya are turned back to their teenage forms thanks to the Zeo Crystal. The Command Center is gone but the crystal leads them to the new Power Chamber and all but Billy take on new Zeo powers."
Misfits of Science,7.4,1985-1986,60,"Adventure, Comedy, Sci-Fi",,"1,067",The adventures of a team of misfit superheroes who fight crime for a scientific think tank.
The Master,4.5,1984,60,"Adventure, Drama, Action",,"1,406",An aging American ninja master and his headstrong young apprentice search for the elder man's daughter.
The Cape,5.8,2011,60,"Action, Drama",TV-14,"8,439","Vince Faraday is a cop who has been framed for murder, leading him to fall off the grid and become the super hero known only as ""The Cape."""
Power Rangers Jungle Fury,6.6,2008,22,"Action, Adventure, Drama",TV-Y7,"1,717",Three teenagers from the Pai Zhug Kung Fu Academy are chosen to fight the forces of an opposing academy and all other forces of evil.
Power Rangers Mystic Force,6.7,2006,22,"Action, Adventure, Family",TV-Y7,"2,608","Legend says when the darkness arises, five brave teen sorcerers will be called to fight for the planet's survival - with the guidance from their wise mentor and the ancient Xenotome, book ... See full summary »"
Power Rangers Wild Force,6.3,2002-2003,30,"Action, Adventure, Drama",TV-Y7,"2,379","Five teenagers are chosen by five Power Animals to become the Wild Force Rangers, to fight the evil Jinderax and Toxica and their evil Orgs."
Power Rangers Ninja Storm,6.4,2003-2004,30,"Action, Adventure, Family",TV-Y7,"2,517",A trio of ninja trainees become Power Rangers to defend their school after it is attacked by aliens.
Werewolf,8,1987-1988,30,"Horror, Thriller",,878,"Young Eric has been bitten by a werewolf. However, he's not particularly thrilled by this turn of affairs and wishes to escape his curse. To do so, he must find and kill the founder of his ... See full summary »"
The Champions,7.6,1968-1969,60,"Adventure, Sci-Fi, Thriller",,"1,195","After a plane carrying three UN Agents crashes in the Himalayas, they are rescued by an advanced civilisation secretly living in Tibet who grant them enhanced versions of the ordinary five senses, and intellectual and physical abilities."
The Awesomes,7.3,2013-2015,23,"Animation, Action, Comedy",TV-14,"1,429","After the legendary Mr. Awesome retires as leader of his superhero task force, his not-so-super son Prock must assemble a team of funny-if-flawed misfits to restore the group to its former glory."
Iron Man,6.7,1994-1996,30,"Animation, Action, Adventure",TV-Y7,"3,212",Industrialist Tony Stark leads his private team of superheros as Iron Man against the forces of evil.
Beware the Batman,7.3,2013-2014,22,"Animation, Action, Adventure",TV-PG,"4,176","Batman, a crime-fighting vigilante of Gotham City, goes up against the underworld."
Electra Woman and Dyna Girl,6.8,1976,24,Sci-Fi,,434,The adventures of two female superheroes.
Star Wars: Droids,6,1985-1986,,"Animation, Action, Adventure",,"1,719",The adventures of R2-D2 and C-3PO years before serving the Rebel Alliance. The series features several story arcs and one hour-long special.
The Invisible Man,7.5,2000-2002,120,"Action, Comedy, Sci-Fi",,"3,172","A thief and conman is given the means to become invisible, and ends up working for a government agency."
Vixen,7.1,2015-2016,5,"Animation, Short, Action",TV-PG,"3,473","Vixen is based on the DC Character Mari McCabe / Vixen, a costumed superhero crime-fighter with the power to mimic the abilities of any animal that has ever lived on Earth."
The Epic Tales of Captain Underpants,6.7,2018-2020,24,"Animation, Short, Action",TV-Y7,860,"Best friends George and Harold scheme together a number of pranks at school involving their principal, whose alter ego is a superhero they created called Captain Underpants."
Freakazoid!,7.5,1995-1997,30,"Animation, Short, Action",TV-G,"7,832","Washington, D.C. has a new defender: Freakazoid. The comedy and insanity never stop when he's around, and he's only one of the weird heroes of the series. It's better than a nice tub of good things."
Danger Mouse,7.4,1981-1992,25,"Animation, Comedy, Family",TV-Y,"3,467","Danger Mouse, the greatest secret agent in the world, must follow Colonel K's orders (and try not to break Professor Squawkencluck's inventions) to foil Baron Greenback's and his henchman Stiletto's plans."
Blue Thunder,6.2,1984,60,"Action, Crime, Drama",,"1,848",An advanced prototype police helicopter and their ground support crew battle crime.
Xiaolin Showdown,7.4,2003-2006,30,"Animation, Action, Adventure",TV-Y7,"7,054",A young Xiaolin monk named Omi with a giant yellow head leads a trio of other students to collect powerful items known as Shen Gong Wu while battling the evil Jack Spicer who is also after the artifacts
Mummies Alive!,7.1,1997-1998,30,"Animation, Action, Adventure",TV-Y7,"1,289","In present day US, a kid releases four ancient Egyptian mummy warriors who help him fight a revived Egyptian evil mummy sorcerer who wants to take over the world."
Wolverine: Lost Chapters,7.4,2019- ,28,Action,,16,"After being shot in the head with an Adamantium bullet, Logan awakens with Amnesia and more questions than answers. These are the lost chapters of Logan's story, his dark and gritty journey... See full summary »"
Fist of the North Star,8.3,1984-1988,25,"Animation, Action, Adventure",TV-14,"3,029","In the year 199X, human civilization has been all but destroyed by a nuclear holocaust. In an age where the strong rule over the weak, the survivors of the fallout struggle over the ... See full summary »"
The Scooby-Doo/Dynomutt Hour,7.6,1976-1978,24,"Animation, Adventure, Comedy",TV-G,"3,290",Scooby Doo and the gang solve mysteries; then Blue Falcon and Dynomutt fight crime in each two-part episode of this animated series.
Godzilla: The Series,6.8,1998-2001,30,"Animation, Action, Crime",TV-Y7,"2,408","In this direct sequel to the 1998 Godzilla movie, Dr. Nico Tatopoulos leads a team, known as H.E.A.T, to battle giant monsters with the help of Godzilla's only living offspring."
A Pup Named Scooby-Doo,6.8,1988-1991,30,"Animation, Adventure, Comedy",TV-G,"5,171","A pre-teen version of Scooby Doo, with a pint-sized version of the title character."
RoboCop: Prime Directives,4.7,2001,375,"Action, Crime, Sci-Fi",R,"2,563","Thirteen years after the original Robocop, Delta City, considered to be ""The Safest Place On Earth!"", has become a futuristic city owned and operated by OCP, and RoboCop, Alex Murphy has ... See full summary »"
Transformers: Robots in Disguise,6,2014-2020,22,"Animation, Action, Adventure",TV-Y7,"1,025","When a new army of Decepticons appear, Bumblebee must lead a new team of Autobots to Earth against their eternal foes."
Battle of the Planets,7.6,1978-1980,30,"Animation, Action, Adventure",TV-Y7,"1,948",A five-member superhero team called G-Force fights to defend Earth and its space colonies from the threat of the planet Spectra.
Green Lantern: The Animated Series,8,2011-2013,25,"Animation, Action, Adventure",TV-PG,"6,631",The further adventures of Hal Jordan and his comrades of the Green Lantern Corps.
Frisky Dingo,8.1,2006-2008,11,"Animation, Comedy, Sci-Fi",TV-MA,"7,255","A philandering billionaire playboy who moonlights as the superhero, Awesome X, faces against his greatest adversary, Killface, but finds balancing his business and superhero lives difficult."
Max Steel,6.7,2000-2015,23,"Animation, Action, Adventure",TV-Y7-FV,"1,091","Now it's all up to Max. Can he infiltrate the Pantheon, find a cure that will restore Alex's humanity, free Rayne and Cytro, defeat the army of Terror Energy powered minions, and stop Terrorax once and for all?"
Witchblade,7.1,2006,,"Animation, Action, Adventure",TV-MA,"1,415","In order to protect her daughter, a young single mother is forced to fight after acquiring a powerful ancient weapon."
M.A.N.T.I.S.,6.4,1994-1995,60,"Action, Sci-Fi",TV-G,733,"A paralyzed African-American scientist builds a powerful exo-skeleton in order to walk again, and uses his new abilities to fight crime."
Justice League Action,7.6,2016-2018,11,"Animation, Action, Adventure",TV-Y7,"2,019","Batman, Superman and Wonder Woman will lead the DC Super Heroes against their most infamous foes."
V.R. Troopers,5.8,1994-1996,30,"Action, Adventure, Family",TV-Y7,"1,023","A trio of teenagers gain powers from ""Virtual Reality"" to fight the evil forces of Grimlord."
New Warriors,Not-Rated,TBA,30,"Action, Adventure, Comedy",,,The adventures of a team of teenage superheroes.
Bravest Warriors,8,2012-2018,5,"Animation, Action, Adventure",TV-PG,"3,419",Four teenage heroes-for-hire warp through the universe to save adorable aliens and their worlds using the power of their emotions.
The Mask,7,1995-1997,30,"Animation, Short, Action",TV-Y7,"12,392",The further adventures of Stanley Ipkiss (Rob Paulsen) and his magic reality defying mask.
The Middleman,8.1,2008,43,"Comedy, Drama, Sci-Fi",TV-14,"2,973",A struggling artist is recruited by a secret agency to fight against evil forces. Based on the graphic novels by Javier Grillo-Marxuach and Les McClaine.
Captain Power and the Soldiers of the Future,7.6,1987-1988,30,"Action, Sci-Fi",Not Rated,"1,283",A group of guerilla fighters battle the evil machine forces that dominate a future Earth.
Krypto the Superdog,5.8,2005-2006,30,"Animation, Action, Adventure",TV-Y,"1,063",The adventures of the Kryptonian superhero dog and his friends.
Zero,5.6,2021,27,"Action, Comedy, Drama",TV-MA,"1,233","A teen with the power of invisibility is dragged into a small-time criminal's quest to rule the neighborhood, and gets to know a mysterious art student."
Stingray,7.5,1985-1989,48,"Crime, Drama, Mystery",TV-14,782,"""Ray"", a man of mystery, gets people out of trouble, asking for favors in return."
Transformers: Rescue Bots,6.5,2011-2016,20,"Animation, Short, Action",TV-Y7,900,The Rescue Bots are Transformers that work with a family of heroes to rescue humans from disasters. These non-violent Transformer stories were aimed at pre-school viewers.
The Crow: Stairway to Heaven,6.5,1998-1999,43,"Action, Crime, Drama",,"2,431","A deceased street musician returns to life, and must restore the balance between good and evil to be reunited with his dead girlfriend."
Transformers: Animated,6.6,2007-2009,20,"Animation, Action, Family",TV-Y7,"2,164",Transformers crash land on present day Earth and inadvertently cause a technological revolution. They wake up 50 years later in a world where robots are used in everyday life. StarScream arrives looking for their AllSpark.
BeetleBorgs,6.4,1996-1998,23,"Action, Adventure, Comedy",TV-Y7,"1,296",Their wish to become comic book heroes forces three kids to take on the heroes' mortal enemies.
The Girl from U.N.C.L.E.,6.9,1966-1967,60,"Action, Adventure, Comedy",,451,The missions of agent April Dancer of the United Network Command for Law and Enforcement.
Sonic Underground,6.1,1999-2000,30,"Animation, Short, Action",TV-Y7,"2,869","Sonic and his royal siblings seek to find their mother and defeat the tyrant, Robotnik."
Mighty Ducks: The Animated Series,6.5,1996-1997,30,"Animation, Short, Action",TV-Y7,"1,882",A team of humanoid duck ice hockey team/freedom fighters fight evil between games.
Jake 2.0,6.8,2003-2004,60,"Drama, Sci-Fi",,"3,596","Jake Foley is a computer technician for the N.S.A., who secretly longs for a chance to work in the field. Circumstance puts him in a top secret laboratory, in the middle of a shoot-out ... See full summary »"
Sym-Bionic Titan,8.1,2010-2011,,"Animation, Action, Adventure",TV-PG,"2,640","Three young alien beings with the ability to form a giant robotic warrior attempt to blend into suburbia, all while battling the tyrannical forces that ravaged their home world."
Fantastic Four: The Animated Series,6.5,1994-1996,22,"Animation, Action, Sci-Fi",,"3,435",The adventures of Marvel Comic's greatest superhero team.
Spider-Man,7,1981-1982,30,"Animation, Action, Adventure",TV-Y7,"1,458",The web slinging superhero battles crime in New York City.
Bibleman,3.1,1995- ,,"Family, Sci-Fi",TV-Y7,785,"Miles Peterson had everything: Money, power, fame...Until he lost it. Then Miles finds the power of God and harnesses that power to become Bibleman."
Ewoks,6,1985-1987,30,"Animation, Adventure, Family",TV-G,"1,890","A stand-alone collection of stories, Star Wars Ewoks focuses on the fur-balls from Return of the Jedi and their many misadventures into the unknown, the magical and downright absurd. So is the life of an Ewok."
Adventures of Sonic the Hedgehog,6.4,1993,30,"Animation, Short, Action",TV-Y,"3,678","A blue hedgehog that can run at incredible speeds, his best friend, a two-tailed flying fox, defend planet Mobius from the evil Dr. Robotnik and his bumbling mechanical goons."
Randy Cunningham: 9th Grade Ninja,6.6,2012-2015,15,"Animation, Short, Action",TV-G,"1,165",An ordinary ninth grader is chosen to become The Ninja. He is tasked with protecting the town from evil as well as balancing his school life with friends and homework.
Deadpool,5.5,2013,11,"Action, Comedy, Fantasy",,491,Deadpool is hired and smitten by the enigmatically psychotic Typhoid Mary. But who is his target?
ThunderCats Roar,2,2020,11,"Animation, Action, Comedy",TV-Y7-FV,"2,309","This upcoming Cartoon Network series centers around Lion-O and his wacky misadventures, as he tries to defeat the evil Mumm-Ra."
Dead Boy Detectives,Not-Rated,TBA,,"Action, Adventure, Comedy",,,"Follows Charles Rowland and Edwin Paine, who decided not to enter the afterlife to stay on earth and investigate crimes that involve supernatural stuff."
Batwheels,,2022- ,,"Animation, Action, Adventure",TV-Y7,,"Superpowered crime-fighting vehicles defending Gotham City alongside Batman, Robin, Batgirl and a host of DC superheroes. Having just been created by the Batcomputer, our heroes are essentially kids with little to no life experience."
Popeye the Sailor,7.1,1960-1962,30,"Animation, Adventure, Comedy",TV-G,"11,659","The continuing animated adventures of Olive Oyl, Wimpy, Swee'pea and Popeye."
Robotech,8.5,1985,30,"Animation, Action, Adventure",TV-Y7,"3,632",An alien spaceship crash lands on Earth and the technology and secrets she bears lead Earth into three destructive interplanetary wars.
Power Rangers Operation Overdrive,5.5,2007,22,"Action, Adventure, Sci-Fi",TV-Y7,"1,375","Five teenagers must locate and secure ancient relics with unbelievable power, while at the same time stop a demonic corporation who want the relics for their power."
Hong Kong Phooey,6.9,1974-1975,22,"Animation, Action, Adventure",TV-G,"3,523",A kung-fu-fighting pup and his snickering cat sidekick battle crime.
My Adventures with Superman,Not-Rated,TBA,,"Animation, Action, Adventure",,,"Clark Kent builds his secret Superman identity and embraces his role as the hero of Metropolis, while sharing adventures and falling in love with Lois, a star investigative journalist, who also takes Jimmy Olsen under her wing."
Power Rangers Turbo,5.7,1997-1998,30,"Action, Adventure, Family",TV-Y7,"2,358",Divatox has begun her invasion on Earth and the Power Rangers trade in their Zeo crystal powers for Turbo technology powers to combat this new threat.
Ninja Turtles: The Next Mutation,4.5,1997-1998,20,"Action, Adventure, Comedy",TV-Y7,"1,531","""the heroes in a half-shell"" return to stop the evil Dragonlord with help from their newest member, Venus DiMilo."
Scooby-Doo and Scrappy-Doo,6.4,1979-1983,30,"Animation, Adventure, Comedy",TV-G,"3,920",The adventures of the mystery solving dog and his nephew.
Duck Dodgers,7.7,2003-2005,30,"Animation, Short, Action",TV-Y7,"7,162","Animated science fiction series based on the alter ego of Looney Tunes star Daffy Duck, the semi-heroic, yet incompetent, space Captain Duck Dodgers."
Swat Kats: The Radical Squadron,8.4,1993-1995,22,"Animation, Action, Family",TV-PG,"4,298","In a world of anthropomorphic felines, two demoted fighter pilots battle evil as high flying masked vigilantes."
Hulk and the Agents of S.M.A.S.H.,6.1,2013-2015,23,"Animation, Action, Adventure",TV-Y7,"2,954","The Incredible Hulk teams up with Red Hulk, She-Hulk, Skaar, and Rick Jones aka A-Bomb to battle the forces of evil in front of cameras for Rick's web-based series to show the Hulk is more hero than monster."
Powerpuff Girls Z,5.3,2006-2019,,"Animation, Action, Adventure",,537,Three ordinary girls gain superpowers and protect their home city from a variety of villains.
The Highwayman,6.6,1987-1988,60,"Action, Sci-Fi",,447,"Series starring a big high-tech 18-wheeler. The driver, the title's 'Highwayman' was one of a team of federal marshals empowered to right wrongs ""where ordinary laws do not reach"" - and to ... See full summary »"
Swamp Thing,6.5,1990-1993,30,Sci-Fi,,929,"When an attempt on Dr. Alec Holland's life leaves him consumed by deadly chemicals and fire, the swamps of Louisiana transform him into a superhuman creature hell-bent on ridding the swamp--and the world--of the evil that men do."
Power Rangers Lightspeed Rescue,6.5,2000-2001,30,"Action, Adventure, Drama",TV-Y7,"1,876",Five young adults are recruited by the Lightspeed Rescue organization to protect the city of Marnier Bay from the forces of evil.
Johnny Test,6.9,2021- ,,"Animation, Action, Comedy",TV-Y7,303,"Johnny Test has exciting adventures with his genetically-engineered superdog, Dukey, and his science-loving sisters, Susan and Mary."
Silverhawks,7.3,1986- ,23,"Action, Sci-Fi, Family",TV-Y7,"3,073",A team of cyborgs protects Limbo from Mon Star and his gang.
The Super Hero Squad Show,6.1,2009-2011,,"Animation, Action, Comedy",TV-Y7,"1,752","Marvel's greatest heroes and evilest of villains battle it out in action packed, yet somewhat satirical alternate universe-style adventures."
Biker Mice from Mars,7,1993-1996,30,"Animation, Action, Adventure",TV-Y7,"4,462","When three alien motorcycle riding mice are forced to leave their home planet of Mars thanks to the evil mining Plutarkians, they rebel against their enemies on planet Earth and the city of Chicago."
Kamen Rider Revice,8.2,2021-2022,25,"Action, Adventure, Comedy",TV-PG,73,"Deadmans is an organization that worships demons. Through the use of mysterious Vistamps, monsters called Deadman are born from within humans. Fighting to protect his family from Deadmans' ... See full summary »"
"Sabrina, the Animated Series",5.9,1999-2000,30,"Animation, Comedy, Family",TV-Y,"3,445",Short lived animated spin off of the television series Sabrina the Teenage Witch. The animated series is a prequel which features Sabrina as a pre-teen girl with small witch powers. Also ... See full summary »
Megas XLR,8.2,2004-2005,30,"Animation, Short, Action",TV-Y7-FV,"5,714",Two teenage slackers find a mecha from the future that had been lying in a New Jersey junkyard for nearly 60 years and make modifications much to the dismay of the robot's attractive creator.
Jason of Star Command,6.5,1978-1981,30,"Action, Adventure, Family",,358,A young Space Command officer fights the evil space lord Dragos and his minions in his jurisdiction of the universe.
DC Super Hero Girls,6,2015-2018,3,"Animation, Short, Action",TV-Y7,702,"At Super Hero High, iconic super heroes like Wonder Woman, Supergirl, Batgirl, Harley Quinn, Bumblebee, Poison Ivy, and Katana navigate all the twists and turns of high school."
The Real Adventures of Jonny Quest,7.7,1996-1997,21,"Animation, Action, Adventure",TV-PG,"2,485",A teenager and his extended family investigate the supernatural and other mysteries around the world.
The Invisible Man,6.7,1975-1976,60,"Adventure, Sci-Fi, Thriller",,875,"The weekly adventures of Dr. Daniel Westin, an invisible scientist working as an agent for a private thinktank."
ReBoot: The Guardian Code,3.8,2018,30,"Action, Comedy, Drama",TV-Y7-FV,"1,188",Four teenagers are recruited by an AI to help protect both cyberspace and the real world.
El Deafo,8.2,2022- ,25,"Animation, Adventure, Comedy",TV-G,69,Follows a kid as she loses her hearing and finds her inner superhero.
The Neighbor,6.6,2019-2021,30,"Action, Comedy",,"2,109","Javier is going through a bad patch: he can hardly make it to the end of the month, his business of T-shirts with de-motivational slogans is not quite getting the attention, and his ... See full summary »"
Space Ghost,7.3,1966-1968,30,"Animation, Action, Adventure",TV-Y7,"1,767",The adventures of a space superhero who can become invisible and his sidekicks.
Super Why!,6.1,2007-2016,30,"Animation, Family",TV-Y,826,A group of characters who live at a library turn into superheroes and then go into books; using early reading skills to save the day. They later use a problem from the story one of them faced and apply it to their own lives.
Underdog,7.2,1964-1973,,"Animation, Action, Adventure",TV-G,"2,348",The adventures of a rhyming canine superhero.
Captain Scarlet and the Mysterons,7.8,1967-1968,25,"Animation, Action, Family",TV-PG,"1,629","In 2068, the indestructible Captain Scarlet leads the agents of Spectrum in a war of nerves against the Mysterons from Mars."
Aaron Stone,6.7,2009-2010,,"Action, Adventure, Family",TV-Y7,932,"Sixteen-year old Charlie Landers is a legend in the online video game world. Via his avatar, Aaron Stone, Charlie is the best player in the world at the video game, Hero Rising. His life is... See full summary »"
The Krofft Supershow,7.5,1976-1978,,"Family, Fantasy, Sci-Fi",,186,An anthology of live-action fantasy/adventure shows hosted by musical group Kaptain Kool and the Kongs.
The Rocketeer,5.1,2019-2020,,"Animation, Short, Action",TV-Y,166,"A girl inherits the persona of The Rocketeer, and with the help of her gadget-building friend they tackle epic adventures."
Legion of Super Heroes,7.1,2006-2008,,"Animation, Action, Comedy",Not Rated,"1,528","The adventures of a young Clark Kent, as Superman, during his time with a team of teenage superheroes in the far future."
Ultraman: A Special Effects Fantasy Series,7.9,1965-1967,30,"Action, Adventure, Comedy",TV-14,712,A human member of a defense force is given the life and ability to change into a giant super-hero to battle the monsters that wreaks havoc on Earth.
Spy Kids: Mission Critical,5.1,2018- ,,"Animation, Action, Adventure",TV-Y7-FV,369,"The series centers around brother and sister team Juni and Carmen Cortez as they attend Spy Kids Academy, a top secret spy school for kid agents. When a new counter-spy agency threatens the... See full summary »"
