show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
Knight Rider,6.9,1982-1986,46,"Action, Crime, Drama",TV-PG,"33,346",A lone crimefighter battles the forces of evil with the help of a virtually indestructible and artificially intelligent supercar.
Batman,7.5,1966-1968,25,"Action, Adventure, Comedy",TV-G,"21,175",The Caped Crusader and his young ward battle evildoers in Gotham City.
MacGyver,7.7,1985-1992,48,"Action, Adventure, Crime",TV-PG,"38,048",The adventures of a secret Agent armed with almost infinite scientific resourcefulness.
Star Trek: Prodigy,6.9,2021- ,24,"Animation, Action, Adventure",TV-Y7,"2,092",A group of teenagers steal a derelict Starfleet vessel and use it to explore the galaxy.
Sabrina the Teenage Witch,6.7,1996-2003,22,"Comedy, Family, Fantasy",TV-G,"37,927","When a sixteen-year-old high school student finds out she's a witch, her two aunts offer guidance on how to control her newly-discovered magical powers."
Dragon Ball Z,8.7,1989-2003,24,"Animation, Action, Adventure",TV-PG,"1,23,890","With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
The A-Team,7.5,1983-1987,60,"Action, Adventure, Crime",TV-PG,"37,023","Four Vietnam vets, framed for a crime they didn't commit, help the innocent while on the run from the military."
Ms. Marvel,,2022- ,,"Action, Adventure, Comedy",,,New Jersey raised Kamala Khan learns she has polymorphous powers.
Misfits,8.2,2009-2013,60,"Comedy, Drama, Fantasy",TV-MA,"98,620","A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers."
The Legend of Korra,8.3,2012-2014,23,"Animation, Action, Adventure",TV-PG,"1,15,731",Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.
Agent Carter,7.9,2015-2016,42,"Action, Adventure, Sci-Fi",TV-PG,"80,078","In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis."
Van Helsing,6.2,2016-2021,43,"Action, Drama, Fantasy",TV-14,"21,359","Vanessa Helsing, distant relative of famous vampire hunter Abraham Van Helsing, is resurrected only to find that vampires have taken over the world."
Star Wars: Visions,7.1,2021- ,,"Animation, Action, Adventure",TV-PG,"14,339",Star Wars anthology series that will see some of the world's best anime creators bring their talent to this beloved universe.
Star Trek: Lower Decks,7.3,2020- ,25,"Animation, Action, Adventure",TV-MA,"14,406","The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies."
Henry Danger,5.6,2014-2020,30,"Action, Comedy, Family",TV-G,"4,965","Looking for a part-time job, 13-year-old Henry Hart finds himself helping super hero Captain Man as his sidekick, keeping the secret from his family and friends."
The Guardians of Justice,,2022- ,,"Animation, Action, Adventure",,,"After keeping the earth at peace for 40 years, alien superhero Marvelous Man leaves a mission up to both his bitter, violent lieutenant Knight Hawk and idealistic The Speed to stop nuclear war."
Beauty and the Beast,7,1987-1990,60,"Crime, Fantasy, Drama",TV-PG,"6,829","The adventures and romance of a sensitive and cultured lion-man and a crusading assistant district attorney in Manhattan, New York City."
Charlie's Angels,6.5,1976-1981,60,"Action, Adventure, Crime",TV-PG,"12,336","A wealthy mystery man named Charlie runs a detective agency via a speakerphone and his personal assistant, John Bosley. His detectives are three beautiful women, who end up in a variety of difficult situations."
Jupiter's Legacy,6.7,2021-,56,"Action, Adventure, Drama",TV-MA,"36,695","The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty."
Inhumans,5,2017-,43,"Action, Adventure, Sci-Fi",TV-PG,"24,941",An isolated community of superhumans fight to protect themselves.
Buck Rogers in the 25th Century,6.9,1979-1981,60,"Action, Adventure, Sci-Fi",TV-G,"8,933",A 20th-century astronaut emerges out of 500 years of suspended animation into a future time to become Earth's greatest hero.
PAW Patrol,6.1,2013- ,23,"Animation, Adventure, Comedy",TV-Y,"2,985","Led by a boy named Ryder, a team of six playful rescue dogs use their individual talents to protect the seaside town of Adventure Bay. The pups are occasionally joined by newer helpers: Cap'n Turbot, Robo-Dog, Everest, and Tracker."
The Thundermans,5.6,2013-2018,23,"Action, Comedy, Drama",TV-G,"5,096","These siblings with superpowers might be twins, but they are very different indeed."
The Gifted,7.3,2017-2019,43,"Action, Drama, Fantasy",TV-14,"34,104","In a world where mutated humans are treated with distrust and fear, an institute for mutants battles to achieve peaceful co-existence with humanity."
Steven Universe,8.1,2013-2020,11,"Animation, Action, Adventure",TV-PG,"31,337","A team of intergalactic warriors fights to protect the universe, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them."
Phineas and Ferb,8,2007-2015,15,"Animation, Short, Action",TV-G,"42,231","Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz."
Airwolf,6.7,1984-1986,60,"Action, Adventure, Sci-Fi",TV-PG,"11,361","As part of a deal with an intelligence agency to look for his missing brother, a renegade pilot goes on missions with an advanced battle helicopter."
Ironheart,Not-Rated,TBA,,"Action, Adventure, Drama",,,The genius teenage-girl inventor Riri Williams creates the most advanced suit of armor since Iron Man.
Runaways,7,2017-2019,60,"Action, Drama, Sci-Fi",TV-14,"25,022","After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins."
Masters of the Universe: Revelation,5.2,2021- ,25,"Animation, Short, Action",TV-PG,"25,784",The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.
Black Lightning,6.1,2017-2021,43,"Action, Drama, Sci-Fi",TV-14,"24,670",A crusading school principal gets back into action as the original African-American electrical superhero.
Lois & Clark: The New Adventures of Superman,6.7,1993-1997,46,"Adventure, Comedy, Drama",TV-PG,"23,598","In addition to fighting evil, Superman has a burning romance with Lois Lane in both of his identities."
Ben 10,7.4,2005-2008,30,"Animation, Action, Adventure",TV-Y7-FV,"17,757","The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species."
Mighty Morphin Power Rangers,6.5,1993-1996,30,"Action, Adventure, Family",TV-Y7,"21,767","A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters."
X-Men: The Animated Series,8.4,1992-1997,23,"Animation, Action, Family",TV-Y7,"41,142",A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
Spider-Man: The Animated Series,8.4,1994-1998,23,"Animation, Action, Adventure",TV-Y,"30,297",A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life.
Swamp Thing,7.5,2019-,60,"Action, Adventure, Drama",TV-MA,"23,894","Abby Arcane returns home to Marais, Louisiana to investigate a deadly swamp-borne virus, only to discover the dark, terrifying mysteries of the swamp."
Dragon Ball Super,8.3,2015-2018,24,"Animation, Action, Adventure",TV-PG,"27,939","Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger."
Wonder Woman,7.1,1975-1979,60,"Action, Adventure, Fantasy",TV-G,"8,247",The adventures of the greatest of the female superheroes.
Robot Chicken,7.7,2001- ,11,"Animation, Short, Adventure",TV-MA,"42,245",Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.
Mob Psycho 100,8.6,2016- ,24,"Animation, Action, Comedy",TV-14,"25,340","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble."
The Incredible Hulk,7,1977-1982,60,"Action, Adventure, Drama",TV-PG,"13,398",A fugitive scientist has the curse of becoming a powerful green monster under extreme emotional stress.
Marvel Studios: Assembled,8,2021- ,58,Documentary,TV-14,"2,115","Assembled is a comprehensive documentary series that chronicles the creation of Marvel Studios' thrilling new shows and theatrical releases. Assembled is an immersive, and in-depth examination of the next phase of the MCU."
Dark Angel,7.4,2000-2002,60,"Action, Drama, Mystery",TV-14,"32,286","A group of genetically-enhanced children escape from a lab project. Years later we meet Max, one of the escapees who now works for a messenger service in the post-apocalyptic Pacific Northwest."
The Avengers,8.3,1961-1969,60,"Action, Comedy, Crime",TV-14,"7,607",A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominately female partners.
Dragon Ball,8.5,1986-1989,24,"Animation, Action, Adventure",TV-14,"54,296","Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
