,show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
161,Voltron: Legendary Defender,8,2016-2018,23,"Animation, Action, Adventure",TV-Y7-FV,"8,569",Five teenagers become the last line of defense for the galaxy in an intergalactic battle against the evil alien force led by King Zarkon.
163,Birds of Prey,6.4,2002-2003,60,"Action, Adventure, Drama",TV-14,"5,054","In the future, long after the Batman has driven himself into exile, his legacy lives on in the form of the Birds of Prey--Black Canary, Oracle, and the Huntress."
164,No Ordinary Family,6.9,2010-2011,60,"Action, Comedy, Drama",TV-PG,"16,540","The Powells are a typical American family living in Pacific Bay, California, whose members gain special powers after their plane crashes in the Amazon."
165,He-Man and the Masters of the Universe,7.5,1983-1985,30,"Animation, Action, Adventure",TV-Y7,"18,194","The most powerful man in the universe, He-Man, goes against the evil forces of Skeletor to save the planet Eternia and to protect the secrets of Castle Grayskull."
166,The Transformers,8,1984-1987,30,"Animation, Action, Adventure",TV-Y7,"21,574",Two opposing factions of transforming alien robots engage in a battle that has the fate of Earth in the balance.
167,Marvel's M.O.D.O.K.,6.3,2021- ,22,"Animation, Action, Comedy",TV-MA,"4,610","It centers around an egomaniacal supervillain with a really big head and a really little body, who struggles to maintain control of his evil organization and his demanding family."
168,Drawn Together,7,2004-2007,22,"Animation, Comedy, Reality-TV",TV-MA,"19,992",A parody of reality shows cast with spoofs of several famous types of animated characters.
169,WordGirl,6.9,2007-2022,30,"Animation, Short, Action",TV-Y7,"1,185","Satirical yet educational animated series about a young girl who is secretly the superhero Wordgirl, armed with superhuman strength, abilities, and a skilled vocabulary."
171,Dragon Ball Z,8.7,1989-1996,24,"Animation, Action, Adventure",TV-PG,"76,303",The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.
172,Ben 10,3.1,2016-2021,12,"Animation, Short, Action",TV-Y7-FV,"4,394",Ben 10 is the fifth iteration of the Ben 10 franchise. It serves as a reboot of the television series loosely based upon the original series.
173,PJ Masks,5.4,2015- ,24,"Animation, Action, Adventure",TV-Y,"1,178","When young friends Connor, Amaya, and Greg put on their pajamas and activate their animal amulets, they turn into their alter egos: Catboy, Owlette, and Gekko as they embark on adventures that are filled with action."
174,The Amazing Spider-Man,6.3,1977-1979,60,"Action, Adventure, Crime",TV-PG,"2,299","With the powers given by the bite of a radioactive spider, a young man fights crime as a wall-crawling superhero."
175,Danny Phantom,7.1,2003-2007,30,"Animation, Action, Adventure",TV-Y7-FV,"17,430",A 14-year-old receives ghost powers and uses them to save the world.
176,The Bionic Woman,6.7,1976-1978,60,"Action, Adventure, Drama",TV-PG,"7,051","After fully recovering from her nearly fatal bout of bionic rejection, Jaime Sommers, the first female cyborg, is assigned to spy missions of her own."
177,Dragon Ball,8.5,1995-2003,24,"Animation, Action, Adventure",TV-14,"58,047","Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice."
178,Codename: Kids Next Door,7.2,2002-2008,23,"Animation, Action, Adventure",TV-Y7,"19,504",The adventures of a group of ten-year-old friends who fight for the right to do everything that adults restrict from them.
179,Weird Science,6.8,1994-1998,30,"Comedy, Fantasy, Sci-Fi",TV-PG,"3,611","Gary Wallace and Wyatt Donnelly create their dream woman, Lisa, on their computer. Lisa has extraordinary powers and can grant the boys their wishes for short periods of time."
181,Dexter's Laboratory,7.9,1996-2003,23,"Animation, Adventure, Comedy",TV-G,"47,213",The misadventures of a boy genius and his annoying sister.
183,Super Crooks,7.2,2021- ,30,"Animation, Action, Adventure",TV-MA,"1,764",Johnny Bolt recruits a group of ragtag supervillains for one last heist. Their target: A ruthless super-powered crime boss. What can go wrong?
185,Lucky Man,7.2,2016-2018,60,"Action, Crime, Drama",TV-14,"5,867",From the mind of comic book legend Stan Lee comes a bold new action crime series about a brilliant but flawed police officer with the power to control luck.
186,Buzz Lightyear of Star Command,6.7,2000-2001,30,"Animation, Action, Adventure",TV-Y7,"3,249",The further adventures of Buzz Lightyear as a Space Ranger of Star Command and his comrades.
187,Stripperella,5.6,2003-2004,30,"Animation, Action, Comedy",TV-MA,"1,362",Pamela Anderson provides the voice of Erotica Jones who is stripper by night and superhero Stripperella by even later at night.
188,Yu Yu Hakusho: Ghost Files,8.4,1992-1995,24,"Animation, Action, Adventure",TV-PG,"13,067","One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ... See full summary »"
189,Sailor Moon,7.6,1995-2000,24,"Animation, Action, Adventure",TV-Y,"12,471",The magical action-adventures of a teenage girl who learns of her destiny as the legendary warrior Sailor Moon and must band together with the other Sailor Scouts to defend the Earth and Galaxy.
190,Spawn,8.1,1997-1999,30,"Animation, Action, Adventure",TV-MA,"8,591","After being betrayed and murdered by his employer, a government trained assassin is resurrected as a Hellspawn, then being forced to act as the reluctant leader of Hell's army."
191,Tarzan,7.1,1966-1968,60,"Action, Adventure",,923,"Tarzan (Lord Greystoke), already well educated and fed up with civilization, returns to the jungle and, more or less assisted by chimpanzee Cheetah and orphan boy Jai, wages war against poachers and other bad guys."
192,The Avengers: Earth's Mightiest Heroes,8.3,2010-2012,30,"Animation, Action, Adventure",TV-Y7,"14,518","After 74 villains break out of prison, Marvel's most powerful superheroes team up to capture all of them, and also to defend the Earth from widespread threats."
193,Sailor Moon,7.8,1992-1997,30,"Animation, Action, Adventure",TV-PG,"6,058","A group of schoolgirls discover they are incarnations of super-powered alien princesses, and use their abilities to defend the earth."
194,RWBY,7.6,2012- ,13,"Animation, Action, Adventure",TV-PG,"6,038","4 Teenage girls form Team RWBY and train to fight crime and monsters known as the Grimm, while the world of Remnant remains on the brink of an all out war."
195,Winx Club,6.2,2004-2019,25,"Animation, Action, Adventure",TV-Y7,"6,720","The Winx have a mission in hand, reaching their final fairy stage. But trouble arises as Valtor escapes from the Omega Dimension and teams up with the Trix."
196,DC Super Hero Girls,7.1,2019- ,11,"Animation, Action, Adventure",TV-PG,"1,172",Teenage versions of DC Comics superheroines both attend high school and fight crime to protect the citizens of Metropolis.
197,Power Rangers Ninja Steel,6,2017-2018,21,"Action, Adventure, Drama",TV-Y7,851,A new team of superhuman power rangers must work together and use their new ninja powers to prevent evil from dominating the human race and from destroying the planet earth and the universe
198,Trese,7,2021- ,33,"Animation, Action, Adventure",TV-MA,"3,527","Set in Manila where the mythical creatures of Philippine folklore live in hiding amongst humans, Alexandra Trese finds herself going head to head with a criminal underworld comprised of malevolent supernatural beings."
199,Shazam!,6.7,1974-1977,30,"Action, Family, Fantasy",TV-Y7-FV,"1,417","A young boy, able to transform into the superhero Captain Marvel, travels the country fighting evil and helping people."
