,show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
736,Ultraman Z,7.9,2020,25,"Action, Adventure, Comedy",TV-PG,178,"The newest Ultra Hero is Ultraman Zett, the disciple of Ultraman Zero, who is now celebrating his tenth anniversary. An admirer of Zero, Zett worked hard to become a member of the ""Inter ... See full summary »"
737,Kamen Rider Den-O,7.7,2007-2008,25,"Action, Adventure, Comedy",TV-PG,439,Ryotaro Nogami transforms into Kamen Rider Den-O traveling to different times using the time-traveling train DenLiner to battle the Imagin monsters and preventing them from altering the past to affect the present and future.
738,Nutri Ventures,8.1,2013-2016,24,"Animation, Adventure",TV-Y7,51,"Theo, Lena, Ben, Nina and their Guga friends have the exciting mission of discovering the food group kingdoms and returning nutritious food to their city where no food exists under the rule of super villain Alex Grand."
739,The Batman/Superman Hour,7.5,1968-1969,60,"Animation, Action, Adventure",,"1,377",The Dynamic Duo battles crime in Gotham City.
740,The Ripping Friends,6.4,2001-2002,30,"Animation, Comedy",TV-PG,472,The misadventures of a quartet of muscleheaded superheroes.
741,Chespirito,8.1,1980-1995,60,"Comedy, Crime, Family",TV-PG,541,"Comic sketches by Roberto Gomez Bolaños ""Chespirito,"" peopled by every character he has created."
742,Flash Gordon,6.1,1996-1997,30,"Animation, Action, Adventure",TV-PG,139,"After his astronaut parents are sucked into a dimensional hole to the planet Mongo, the teenage hoverboard enthusiast Flash Gordon, his love interest Dale Arden and the scientist Dr. Hans ... See full summary »"
743,Sabrina's Secret Life,6.4,2003-2004,30,"Animation, Family",TV-Y,475,"These adventures focus on Sabrina training at a witchcraft academy, and feature the rival character Cassandra (aka 'Portia' from ""Friends Forever"")."
744,Blackstar,6.8,1981-1982,30,"Animation, Adventure, Family",,775,"An astronaut, stranded on a primitive planet in a distant universe, fights against the tyranny of the Overlord."
745,Bucky O'Hare and the Toad Wars!,7.4,1991-1992,30,"Animation, Action, Adventure",,820,Galactic hero Bucky O'Hare and his brave crew battle the evil toads bent on conquering the universe. A young boy genius from the human universe joins Bucky's crew.
746,Action League Now!!,8.1,2003-2004,25,"Animation, Comedy, Family",TV-Y7,647,"This KaBlam spinoff combines the original shorts into a half-hour program, while being connected to each other thematically."
747,Los Luchadores,6.8,2000-2002,,"Action, Adventure, Comedy",TV-Y7,62,Saban's action comedy show about three young heroic Canadian luchadores (one of them a girl) fighting supervillains.
748,Ultraman: The Ultimate Hero,6.4,1993-1995,27,"Action, Adventure, Drama",TV-PG,77,WINR member Kenichi Kai transforms into a new Ultraman to defend the Earth from giant monsters and aliens.
749,Nightwing: Escalation,5.1,2011- ,20,Action,,94,The adventures of Nightwing defending Gotham City in Batman's absence.
